id,from_defect_id,to_defect_id
209,5729,4914
210,8467,8517
211,4190,4220
212,9146,9047
213,2091,2090
214,9196,9192
215,6138,6180
216,2421,4151
217,6309,6308
218,3545,4783
219,2694,2565
220,2576,2575
221,5753,5751
222,2796,2781
223,7330,7329
224,6537,6472
225,11475,5696
226,2992,2368
227,1106,965
228,9369,9360
229,9325,8352
230,9364,9381
231,221,194
232,4025,4151
233,2997,2764
234,4460,4458
235,2327,2288
236,12015,11683
237,3203,3343
238,3427,3426
239,5792,2368
240,6067,6066
241,7323,7310
242,3239,7402
243,8693,8515
244,8490,8489
245,2627,6795
246,7002,6974
247,6416,5929
248,9857,9859
249,4715,3389
250,4539,4505
251,9450,9454
252,3185,3170
253,8858,8859
254,7552,7551
255,7324,7310
256,7187,5218
257,6366,5680
258,9066,9054
259,4169,4097
260,7881,10403
261,4840,10488
262,9472,9471
263,8461,8467
264,3540,3457
265,8414,8338
266,3405,1
267,13211,12845
268,7028,7224
269,6822,6820
270,5975,5977
271,8673,8674
272,4172,4155
273,2347,2090
274,5909,5907
275,2241,2237
276,4109,3914
277,8961,8962
278,5868,4814
279,7281,7266
280,6239,6221
281,4865,6795
282,9589,9498
283,7699,7556
284,6538,6539
285,9476,9397
286,5194,5105
287,2622,2619
288,8794,8786
289,2443,2420
290,12859,12558
291,4848,6795
292,3817,553
293,3001,2764
294,3217,3202
295,6821,6820
296,4117,4190
297,7966,7942
298,5824,5823
299,3428,3427
300,4049,4058
301,6068,6067
302,6795,6796
303,8807,8590
304,9329,9120
305,6921,6924
306,6321,6315
307,9174,9546
308,5932,5935
309,6462,6078
310,4313,4317
311,3736,4190
312,8505,8502
313,9440,9429
314,1342,1516
315,6063,6061
316,9445,9450
317,9441,9429
318,11998,11733
319,5773,7190
320,2844,4697
321,10881,11219
322,10294,10295
323,4318,4317
324,5092,6795
325,9238,9196
326,4349,3343
327,7315,7310
328,11179,11067
329,6379,6317
330,6423,6419
331,6308,6307
332,8849,9055
333,8974,8649
334,6334,6332
335,9008,8908
